
[2020-11-28 08:21:24] - 2 -  Invalid argument supplied for foreach() - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 20

[2020-11-28 08:21:59] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:21:59] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:22:00] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:22:00] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:22:15] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:22:15] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:22:22] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:22:22] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:22:24] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:22:24] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:22:29] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:22:29] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:22:35] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:22:35] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:22:35] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:22:35] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:22:36] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

